iter	MultiClass
0	2.474640432
1	2.103887234
2	1.833741627
3	1.636893859
4	1.45068837
5	1.308195749
6	1.189126462
7	1.087753978
8	0.9962478575
9	0.9188199162
10	0.8464964357
11	0.7819184893
12	0.7286143291
13	0.6791943279
14	0.6356624468
15	0.5907802063
16	0.5494427242
17	0.5172966481
18	0.4884192495
19	0.4573298308
20	0.4332550513
21	0.4079504709
22	0.3879493403
23	0.3684893914
24	0.3516616017
25	0.3344226562
26	0.3172106608
27	0.3025900768
28	0.289037876
29	0.2760233958
30	0.2628835042
31	0.2523194603
32	0.2421727211
33	0.2322159085
34	0.2249816277
35	0.2171199559
36	0.2092831165
37	0.2012679902
38	0.1938577225
39	0.1858754632
40	0.179461961
41	0.1741422422
42	0.1684870863
43	0.163418781
44	0.1588257313
45	0.1539805004
46	0.1504938071
47	0.1462186396
48	0.1424585788
49	0.1390593645
50	0.135408151
51	0.1319381336
52	0.128189194
53	0.1250151218
54	0.121947996
55	0.119508106
56	0.1165484273
57	0.1139850473
58	0.110891852
59	0.1087178679
60	0.1066291434
61	0.1044937135
62	0.1024193683
63	0.1002301966
64	0.09825922686
65	0.0966715539
66	0.09505229596
67	0.0930353305
68	0.09190526024
69	0.09028351781
70	0.08884910433
71	0.08707209161
72	0.08561983326
73	0.08438627682
74	0.08304219222
75	0.08200021961
76	0.08041537166
77	0.07924772091
78	0.07809512703
79	0.07672898464
80	0.07548953139
81	0.07454071041
82	0.07346270219
83	0.07248270491
84	0.07121267964
85	0.07019334331
86	0.06887488913
87	0.06806965215
88	0.06718680752
89	0.06582395556
90	0.06506963464
91	0.06427314547
92	0.06323121129
93	0.06230679704
94	0.06119561244
95	0.06048304307
96	0.05945215202
97	0.05879407274
98	0.0581110081
99	0.05723587154
